index,genres,homepage,id,keywords,original_language,popularity,release_year,title,cast,director
1329,Romance Comedy Drama,http://whattoexpectthefilm.com/,76494,based on novel adoption pregnant miscarriage expectant father,en,27.009723,2012,What to Expect When You're Expecting,Cameron Diaz Jennifer Lopez Elizabeth Banks Anna Kendrick Brooklyn Decker,Kirk Jones
1330,Comedy Drama,,4944,blackmail paranoia fitness-training plastic surgery autobiography,en,31.941347,2008,Burn After Reading,George Clooney Frances McDormand Brad Pitt John Malkovich Tilda Swinton,Joel Coen
1331,Adventure Comedy Family Fantasy,,10488,fictional place exotic island shipwreck cruise volcano,en,14.353279,2008,Nim's Island,Abigail Breslin Jodie Foster Gerard Butler Michael Carman Mark Brady,Jennifer Flackett
1332,Drama Action,,96721,world champion sport racing car formula 1 automobile racing,en,33.003828,2013,Rush,Daniel Br\u00fchl Chris Hemsworth Olivia Wilde Alexandra Maria Lara Natalie Dormer,Ron Howard
1333,Drama,http://www.magnoliamovie.com/,334,farewell regret parents kids relationship suicide attempt becoming an adult,en,30.993736,1999,Magnolia,Julianne Moore William H. Macy John C. Reilly Tom Cruise Philip Baker Hall,Paul Thomas Anderson
1334,Action Comedy Crime,http://copoutmovie.warnerbros.com/dvd/,23742,new york money laundering daughter police undercover cop,en,25.825771,2010,Cop Out,Bruce Willis Tracy Morgan Juan Carlos Hern\u00e1ndez Seann William Scott Michelle Trachtenberg,Kevin Smith
1335,Comedy Romance,http://howtobesinglemovie.com/,259694,new york based on novel one-night stand single,en,46.078371,2016,How to Be Single,Dakota Johnson Rebel Wilson Alison Brie Nicholas Braun Damon Wayans Jr.,Christian Ditter
1336,Drama Family,http://dolphintalemovie.warnerbros.com/index.html,62837,dolphin boy trap summer tail,en,6.63839,2011,Dolphin Tale,Morgan Freeman Ashley Judd Harry Connick Jr. Nathan Gamble Kris Kristofferson,Charles Martin Smith
1337,Adventure Fantasy Drama Romance,http://www.twilightthemovie.com,8966,soulmates vampire forbidden love immortality trust,en,127.084938,2008,Twilight,Kristen Stewart Robert Pattinson Billy Burke Taylor Lautner Peter Facinelli,Catherine Hardwicke
1338,Drama Thriller Crime,,8470,father son relationship chicago heart attack kidnapping heart disease,en,27.465433,2002,John Q,Denzel Washington Robert Duvall Anne Heche Kimberly Elise Daniel E. Smith,Nick Cassavetes
1339,Action Comedy Crime,,11001,robbery diamant police operation police everyday life thief,en,16.865782,1999,Blue Streak,Martin Lawrence Luke Wilson Dave Chappelle Peter Greene Nicole Ari Parker,Les Mayfield
1340,Comedy Crime,http://werethemillers.warnerbros.com,138832,mexico police gang drug smuggling drug,en,100.348805,2013,We're the Millers,Jason Sudeikis Jennifer Aniston Will Poulter Emma Roberts Ed Helms,Rawson Marshall Thurber
1341,Action Fantasy Science Fiction Thriller,http://oostrov.ru,16911,based on novel brother sister relationship sword fight spaceship strugatsky,ru,2.785832,2008,The Inhabited Island,Vasily Stepanov Pyotr Fyodorov \u042e\u043b\u0438\u044f \u0421\u043d\u0438\u0433\u0438\u0440\u044c Fyodor Bondarchuk Sergey Garmash,Fyodor Bondarchuk
1342,Drama Action Thriller,,2163,california bank ransom car breakdown kidnapping,en,9.176339,1997,Breakdown,Kurt Russell J. T. Walsh Kathleen Quinlan M.C. Gainey Jack Noseworthy,Jonathan Mostow
1343,Adventure Action Thriller,http://www.mgm.com/view/movie/1345/Never-Say-Never-Again/,36670,video game spy bahamas british stealing,en,23.380757,1983,Never Say Never Again,Sean Connery Kim Basinger Klaus Maria Brandauer Edward Fox Barbara Carrera,Irvin Kershner
1344,Science Fiction Comedy Adventure,http://www.mgm.com/view/Movie/2387/Hot-T...,23048,female nudity one-night stand time travel time machine incest overtones,en,33.926473,2010,Hot Tub Time Machine,John Cusack Lizzy Caplan Rob Corddry Craig Robinson Clark Duke,Steve Pink
1345,Family Drama,http://www.seewinter.com/,227735,dolphin aquarium swimming,en,6.967857,2014,Dolphin Tale 2,Morgan Freeman Ashley Judd Nathan Gamble Cozi Zuehlsdorff Harry Connick Jr.,Charles Martin Smith
1346,Thriller,,2155,prison robbery role reversal extramarital affair,en,11.470135,2000,Reindeer Games,Ben Affleck Gary Sinise Charlize Theron Dennis Farina Donal Logue,John Frankenheimer
1347,Action Drama,http://www.newline.com/properties/manaparta.html,8409,repayment arbitrary law cop loss of wife,en,19.854932,2003,A Man Apart,Vin Diesel Larenz Tate Timothy Olyphant Geno Silva Jacqueline Obradors,F. Gary Gray
1348,Drama Comedy Romance,,222936,love triangle hawaii satellite military duringcreditsstinger,en,29.652536,2015,Aloha,Bradley Cooper Emma Stone Rachel McAdams Bill Murray John Krasinski,Cameron Crowe
1349,History Drama,,31908,assassin widow trial civil rights activist,en,8.102925,1996,Ghosts of Mississippi,Alec Baldwin James Woods Virginia Madsen Whoopi Goldberg Craig T. Nelson,Rob Reiner
1350,Drama Romance,,10219,journalist japanese wife fisherman war,en,2.79483,1999,Snow Falling on Cedars,Ethan Hawke Youki Kudoh Reeve Carney Anne Suzuki Rick Yune,Scott Hicks
1351,Drama Thriller Horror,http://whatdoyoubelieve.warnerbros.com/,48171,vatican violinist hospital miscarriage exorcist,en,11.492474,2011,The Rite,Anthony Hopkins Colin O'Donoghue Alice Braga Toby Jones Ciar\u00e1n Hinds,Mikael H\u00e5fstr\u00f6m
1352,Thriller Science Fiction Mystery Romance,,782,paraplegic suicide attempt cheating dna spaceman,en,70.398356,1997,Gattaca,Ethan Hawke Jude Law Gore Vidal Uma Thurman Alan Arkin,Andrew Niccol
1353,Drama Comedy,,75531,autism based on article,de,1.068453,2000,Isn't She Great,Bette Midler Nathan Lane Stockard Channing David Hyde Pierce John Cleese,Andrew Bergman
1354,Animation Family,http://www.spacechimpspower.com/,11802,space marine chimp space aftercreditsstinger,en,6.293217,2008,Space Chimps,Andy Samberg Cheryl Hines Jeff Daniels Patrick Warburton Kristin Chenoweth,Kirk De Micco
1355,Comedy,,9776,usa black people usa president presidential election election campaign,en,3.457194,2003,Head of State,Chris Rock Bernie Mac Dylan Baker Nick Searcy Lynn Whitfield,Chris Rock
1356,Comedy,http://hangoverpart2.warnerbros.com/dvd/,18785,underwear tiger stag night hangover lost weekend,en,82.21166,2009,The Hangover,Bradley Cooper Ed Helms Zach Galifianakis Justin Bartha Heather Graham,Todd Phillips
1357,Action Drama History,,365222,biography,cn,19.167377,2015,Ip Man 3,Donnie Yen Lynn Hung Zhang Jin Patrick Tam Karena Ng,Wilson Yip
1358,Adventure Comedy Crime Science Fiction,,817,saving the world moon submarine clone spy,en,18.316151,1999,Austin Powers: The Spy Who Shagged Me,Mike Myers Heather Graham Michael York Robert Wagner Rob Lowe,Jay Roach
1359,Fantasy Action,,268,double life dc comics dual identity chemical crime fighter,en,44.104469,1989,Batman,Jack Nicholson Michael Keaton Kim Basinger Michael Gough Pat Hingle,Tim Burton
1360,Drama,http://therebedragonsmovie.com/,45054,spanish civil war priest independent film catholic dying,en,6.668679,2011,There Be Dragons,Charlie Cox Dougray Scott Wes Bentley Rodrigo Santoro Jordi Moll\u00e0,Roland Joff\u00e9
1361,Adventure Action Comedy Thriller Crime,,943,rookie cop dog biscuit shooting practice sitting on a toilet judo throw,en,36.172182,1992,Lethal Weapon 3,Mel Gibson Danny Glover Joe Pesci Rene Russo Stuart Wilson,Richard Donner
1362,Drama,http://www.theblindsidemovie.com/,22881,american football adoption education private school sport,en,25.767395,2009,The Blind Side,Sandra Bullock Quinton Aaron Kathy Bates Tim McGraw Jae Head,John Lee Hancock
1363,Action Comedy Family Adventure,,10054,double life parents kids relationship brother sister relationship loss of parents secret agent,en,21.543389,2001,Spy Kids,Alexa PenaVega Daryl Sabara Antonio Banderas Carla Gugino Alan Cumming,Robert Rodriguez
1364,Comedy Crime,http://horriblebossesmovie.warnerbros.com/index.html,51540,conspiracy of murder bad boss employee death of father stakeout,en,50.309843,2011,Horrible Bosses,Jennifer Aniston Jason Bateman Charlie Day Jason Sudeikis Colin Farrell,Seth Gordon
1365,Drama Adventure Western,http://www.truegritmovie.com/,44264,loss of father father murder texas ranger alcoholism betrayal,en,49.292384,2010,True Grit,Jeff Bridges Matt Damon Josh Brolin Barry Pepper Hailee Steinfeld,Joel Coen
1366,Comedy Drama Romance,http://www.devilwearspradamovie.com/,350,paris journalist journalism world of fasion fashion journal,en,83.893257,2006,The Devil Wears Prada,Meryl Streep Anne Hathaway Emily Blunt Stanley Tucci Simon Baker,David Frankel
1367,Science Fiction Adventure Mystery,,152,artificial intelligence uss enterprise starfleet san francisco self sacrifice,en,24.616634,1979,Star Trek: The Motion Picture,William Shatner Leonard Nimoy DeForest Kelley James Doohan George Takei,Robert Wise
1368,Comedy Crime,http://www.identitythiefmovie.com,109431,,en,34.005726,2013,Identity Thief,Jason Bateman Melissa McCarthy Jon Favreau Amanda Peet T.I.,Seth Gordon
1369,Crime Thriller,,1598,prison child abuse rape small town daughter,en,27.714043,1991,Cape Fear,Robert De Niro Nick Nolte Jessica Lange Juliette Lewis Joe Don Baker,Martin Scorsese
1370,Drama Crime,http://www.sonypictures.com/movies/21/,8065,gambling card game professor harvard university cohabitant,en,45.149948,2008,21,Jim Sturgess Kevin Spacey Kate Bosworth Aaron Yoo Liza Lapira,Robert Luketic
1371,Comedy,,271718,alcohol one-night stand,en,72.774941,2015,Trainwreck,Amy Schumer Bill Hader Brie Larson Colin Quinn Vanessa Bayer,Judd Apatow
1372,Comedy Romance,,11638,black people jealousy parents-in-law trouble fianc\u00e9e,en,3.74263,2005,Guess Who,Bernie Mac Ashton Kutcher Zoe Saldana Judith Scott Hal Williams,Kevin Rodney Sullivan
1373,Drama Romance War,,409,cairo egypt identity amnesia world war ii,en,29.381878,1996,The English Patient,Ralph Fiennes Juliette Binoche Willem Dafoe Kristin Scott Thomas Naveen Andrews,Anthony Minghella
1374,Crime Drama Mystery Thriller,,2118,corruption detective shotgun morgue f word,en,24.860326,1997,L.A. Confidential,Kevin Spacey Guy Pearce Danny DeVito James Cromwell Kim Basinger,Curtis Hanson
1375,Adventure Comedy Family,http://disney.go.com/disneypictures/skyhigh/,11459,hero loyalty mockery supernatural powers high school,en,11.041659,2005,Sky High,Michael Angarano Kurt Russell Kelly Preston Danielle Panabaker Kevin Heffernan,Mike Mitchell
1376,Comedy Romance,,10806,gay homophobia coming out lgbt,en,11.897925,1997,In & Out,Kevin Kline Joan Cusack Tom Selleck Matt Dillon Debbie Reynolds,Frank Oz
1377,Science Fiction Horror Action,,9348,telepathy dna paranoia genetics instinct,en,23.607071,1995,Species,Natasha Henstridge Ben Kingsley Michael Madsen Alfred Molina Forest Whitaker,Roger Donaldson
1378,Horror,,377,child murderer sleep nightmare supernatural slasher,en,38.204158,1984,A Nightmare on Elm Street,John Saxon Ronee Blakley Heather Langenkamp Amanda Wyss Jsu Garcia,Wes Craven
1379,Horror Science Fiction Thriller,,8843,drowning therapist virtual reality serial killer psychopathy,en,25.413955,2000,The Cell,Jennifer Lopez Vincent D'Onofrio Vince Vaughn Marianne Jean-Baptiste Catherine Sutherland,Tarsem Singh
1380,Action Adventure Drama,,9313,france swordplay mask musketeer,en,28.98027,1998,The Man in the Iron Mask,Leonardo DiCaprio Jeremy Irons G\u00e9rard Depardieu Gabriel Byrne John Malkovich,Randall Wallace
1381,Drama,http://disney.go.com/disneypictures/secretariat/,39486,horse race horseback riding biography,en,9.525037,2010,Secretariat,Diane Lane John Malkovich Scott Glenn Dylan Walsh Fred Dalton Thompson,Randall Wallace
1382,Adventure Animation Comedy Family,https://www.warnerbros.com/tmnt,1273,new york brother brother relationship journalist martial arts crime fighter,en,18.39217,2007,TMNT,Chris Evans Sarah Michelle Gellar Mako Kevin Smith Patrick Stewart,Kevin Munroe
1383,Drama,,13920,biography friendship sport,en,9.254647,2003,Radio,Cuba Gooding Jr. Ed Harris Alfre Woodard S. Epatha Merkerson Debra Winger,Mike Tollin
1384,Romance Comedy,http://www.fwb-movie.com/,50544,funeral friends hospital aftercreditsstinger duringcreditsstinger,en,40.526587,2011,Friends with Benefits,Justin Timberlake Mila Kunis Patricia Clarkson Woody Harrelson Nolan Gould,Will Gluck
1385,Comedy,http://www.neighbors-movie.com/,325133,alcohol college party sequel sorority,en,50.179171,2016,Neighbors 2: Sorority Rising,Seth Rogen Rose Byrne Zac Efron Chlo\u00eb Grace Moretz Kiersey Clemons,Nicholas Stoller
1386,Comedy Drama History,,140823,biography animation writer moviemaking,en,31.957947,2013,Saving Mr. Banks,Emma Thompson Tom Hanks Paul Giamatti Colin Farrell Ruth Wilson,John Lee Hancock
1387,Drama History,,1883,islam new york prison assassination ku klux klan,en,19.822791,1992,Malcolm X,"Denzel Washington Angela Bassett Albert Hall Al Freeman, Jr. Delroy Lindo",Spike Lee
1388,Comedy,http://www.thisis40movie.com/,89492,wife husband relationship children family relationships duringcreditsstinger,en,38.429648,2012,This Is 40,Paul Rudd Leslie Mann Jason Segel Maude Apatow Megan Fox,Judd Apatow
1389,Comedy Family,http://disney.go.com/olddogs/,22949,japanese camp best friend co-worker kids,en,13.707843,2009,Old Dogs,Robin Williams John Travolta Seth Green Justin Long Matt Dillon,Walt Becker
1390,Fantasy Action Adventure Science Fiction Thriller,,12437,prison underworld slavery castle vampire,en,51.927471,2009,Underworld: Rise of the Lycans,Bill Nighy Michael Sheen Rhona Mitra Shane Brolly Steven Mackintosh,Patrick Tatopoulos
1391,Comedy,http://licensetowedthemovie.warnerbros.com/,2959,new love ten commandments bride bridegroom marriage,en,14.503568,2007,License to Wed,Robin Williams Mandy Moore John Krasinski Eric Christian Olsen Christine Taylor,Ken Kwapis
1392,Comedy,,9957,baseball pizza sport paperboy team,en,6.74556,2006,The Benchwarmers,Jon Heder Rob Schneider David Spade Jon Lovitz Tim Meadows,Dennis Dugan
1393,Comedy Romance,http://www2.warnerbros.com/mustlovedogs/,11648,sister sister relationship make a match single children teacher,en,11.120167,2005,Must Love Dogs,Diane Lane John Cusack Elizabeth Perkins Christopher Plummer Dermot Mulroney,Gary David Goldberg
1394,Crime Drama Thriller,,9366,undercover colombia mafia mobster dirty cop,en,40.370442,1997,Donnie Brasco,Johnny Depp Al Pacino Michael Madsen Bruno Kirby James Russo,Mike Newell
1395,Horror Action Science Fiction,http://www.sonypictures.com/movies/residentevil/index.html,1576,undercover mutant dystopia conspiracy zombie,en,40.715623,2002,Resident Evil,Milla Jovovich Michelle Rodriguez Eric Mabius Ryan McCluskey Oscar Pearce,Paul W.S. Anderson
1396,Horror,,609,medium ghostbuster poltergeist haunted house dying and death,en,36.230204,1982,Poltergeist,Craig T. Nelson JoBeth Williams Beatrice Straight Heather O'Rourke Dominique Dunne,Tobe Hooper
1397,Comedy Crime Thriller,,5516,church choir hiding place garbage duringcreditsstinger,en,23.666229,2004,The Ladykillers,Tom Hanks Irma P. Hall Marlon Wayans J.K. Simmons Tzi Ma,Joel Coen
1398,Action,http://www.maxpaynethemovie.com,13051,assassin based on video game aftercreditsstinger,en,25.903237,2008,Max Payne,Mark Wahlberg Mila Kunis Beau Bridges Ludacris Chris O'Donnell,John Moore
1399,Action Thriller Science Fiction,http://www.intimemovie.com/,49530,bank future time dystopia race against time,en,60.231382,2011,In Time,Justin Timberlake Amanda Seyfried Cillian Murphy Olivia Wilde Alex Pettyfer,Andrew Niccol
1400,Comedy Romance,http://www.theback-upplan.com/,34806,kiss sperm bank romantic comedy male female relationship doctor,en,18.38292,2010,The Back-Up Plan,Jennifer Lopez Alex O'Loughlin Danneel Ackles Eric Christian Olsen Anthony Anderson,Alan Poul
1401,Comedy Drama Romance,http://somethingborrowedmovie.warnerbros.com/,49022,new york alcohol based on novel secret cheating,en,14.029012,2011,Something Borrowed,Kate Hudson Ginnifer Goodwin John Krasinski Colin Egglesfield Ashley Williams,Luke Greenfield
1402,Adventure Comedy Fantasy,,11469,england black people medallion castle time travel,en,15.913783,2001,Black Knight,Martin Lawrence Marsha Thomason Tom Wilkinson Vincent Regan Daryl Mitchell,Gil Junger
1403,Comedy Family,,23479,baseball sport little league,en,6.889633,1976,The Bad News Bears,Walter Matthau Tatum O'Neal Ben Piazza Vic Morrow Erin Blunt,Michael Ritchie
1404,Action Adventure Thriller,,11667,dictator martial arts hostage liberation of hostage hostage-taking,en,19.286099,1994,Street Fighter,Jean-Claude Van Damme Ra\u00fal Juli\u00e1 Ming-Na Wen Damian Chapa Kylie Minogue,Steven E. de Souza
1405,Drama War,http://www.thepianistmovie.com/,423,individual resistance radio station war crimes loss of family,en,50.587541,2002,The Pianist,Adrien Brody Thomas Kretschmann Frank Finlay Maureen Lipman Emilia Fox,Roman Polanski
1406,Drama History,,2447,jesus christ bible three kings archangel gabriel christian,en,3.721272,2006,The Nativity Story,Keisha Castle-Hughes Oscar Isaac Hiam Abbass Shaun Toub Ciar\u00e1n Hinds,Catherine Hardwicke
1407,Horror,,10066,american football traffic jam remake murder suspense,en,17.157738,2005,House of Wax,Elisha Cuthbert Paris Hilton Brian Van Holt Jared Padalecki Chad Michael Murray,Jaume Collet-Serra
1408,Drama Romance,,2288,father son relationship love at first sight photographer loss of lover cheating,en,22.636908,2004,Closer,Julia Roberts Jude Law Natalie Portman Clive Owen Colin Stinton,Mike Nichols
1409,Drama Crime History,http://jedgarmovie.warnerbros.com/dvd/,88794,biography historical figure fbi director,en,28.069419,2011,J. Edgar,Leonardo DiCaprio Josh Hamilton Geoff Pierson Armie Hammer Naomi Watts,Clint Eastwood
